"episode","Provider","hrr","maadvantage","avgagehrr","avghcchrr","pctmalehrr","pctblackhrr","pcthispanichrr","pctmdcaidhrr","pctbenesusip","pctbenesusnf","pctbenesuhh","pctbenesuop","pctbenesuasc","Acute Care Hospital Beds per 1,000 Residents (2012)","Primary Care Physicians per 100,000 Residents (2011)","Total Specialists per 100,000 Residents (2011)","Rank for Variable dshpct","Rank for Variable cmi","Rank for Variable mdadjadmit","qstarrating","urbanlocation","joinnetwork","jchaoaccredited","qieffort","reform","mdaffiliation","ownershipstatus","hospitalbedsize"
21053,490011,430,19.06,75,0.96,43.2,20.51,1.81,6.61,16.58,5.56,10.23,74.97,7.3,1.968719886747,76.762850519,144.22259192,1,3,3,3,1,1,1,1,1,2,2,2
16716,490013,312,33.05,75,0.99,42.92,21.53,0.99,16.28,17.08,5.51,8.03,67.65,6.44,1.90968152984,66.07358649,138.8056474,1,2,1,3,0,1,0,1,1,2,2,2
21125,490017,430,19.06,75,0.96,43.2,20.51,1.81,6.61,16.58,5.56,10.23,74.97,7.3,1.968719886747,76.762850519,144.22259192,2,2,3,3,1,1,1,1,1,2,2,2
17627,490018,427,15.04,75,0.88,44.48,5.95,0.7,6.01,15.19,4.66,7.13,74.87,3.42,1.696987067553,72.239984161,134.2461702,1,1,3,3,0,0,1,1,0,1,2,2
18243,490019,427,15.04,75,0.88,44.48,5.95,0.7,6.01,15.19,4.66,7.13,74.87,3.42,1.696987067553,72.239984161,134.2461702,1,2,0,2,0,1,1,1,0,1,2,1
16522,490020,431,21.92,75,0.9,43.42,19.55,0.89,5.61,17.03,4.28,9.45,63.22,7.94,2.099997914716,74.580596668,130.36697099,1,0,1,2,1,,1,1,,1,3,2
19433,490021,428,16.95,75,0.92,43.33,13.58,0.41,10.03,17.02,6.12,8.44,60.69,7.31,2.310879122,74.896381365,118.80585945,1,2,3,4,1,0,1,1,1,1,2,2
19999,490022,431,21.92,75,0.9,43.42,19.55,0.89,5.61,17.03,4.28,9.45,63.22,7.94,2.099997914716,74.580596668,130.36697099,1,2,0,2,1,1,1,1,1,1,2,3
18456,490023,426,17.09,75,0.83,43.69,7.16,4.64,6.72,13.51,3.66,8.05,50.56,8.16,1.179143844158,78.596858873,140.05216711,0,1,2,2,1,,1,0,,1,2,1
22812,490024,432,23.2,75,0.92,43.7,4.91,0.31,8.39,16.67,5.7,8.9,67.91,6.65,2.463942866481,69.006788103,127.85993694,2,3,3,2,1,1,1,1,1,3,2,3
23617,490032,431,21.92,75,0.9,43.42,19.55,0.89,5.61,17.03,4.28,9.45,63.22,7.94,2.099997914716,74.580596668,130.36697099,3,3,0,3,1,0,1,1,1,3,1,3
